Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                1.12   12.13 306656692/306656692     caml_c_call [1]
[2]     58.8    1.12   12.13 306656692         caml_compare [2]
                8.54    3.60 306656692/306656698     compare_val [3]
-----------------------------------------------
                0.00    0.00       3/306656698     caml_lessequal [110]
                0.00    0.00       3/306656698     caml_greaterequal [109]
                8.54    3.60 306656692/306656698     caml_compare [2]
[3]     53.9    8.54    3.60 306656698         compare_val [3]
                2.00    0.00 613313384/633527269     caml_page_table_lookup [10]
                1.60    0.00 612220708/612779467     caml_string_length [12]
-----------------------------------------------
                0.00    6.83       1/1           caml_program [5]
[4]     30.3    0.00    6.83       1         camlOptim0__entry [4]
                0.01    6.48       1/1           camlList__fold_left_1078 [7]
                0.00    0.32       1/1           camlOptim0__read_words_1030 [22]
                0.00    0.02       1/1           camlList__rmap_f_1070 [57]
                0.00    0.01       1/3           camlList__iter_1074 [58]
                0.00    0.00       1/1           camlPrintf__kapr_1209 [112]
                0.00    0.00       1/1           camlPrintf__mkprintf_1345 [117]
                0.00    0.00       1/1           camlList__rev_map_1067 [230]
                0.00    0.00       1/1           camlPervasives__open_out_gen_1175 [240]
                0.00    0.00       1/1           camlPervasives__open_out_1179 [239]
                0.00    0.00       1/1           caml_curry7_5 [260]
                0.00    0.00       1/1           caml_apply6 [252]
                0.00    0.00       1/1           camlPrintf__kfprintf_1386 [244]
                0.00    0.00       1/1           camlPrintf__fprintf_1391 [242]
                0.00    0.00       1/1           camlOptim0__iterate_1042 [232]
                0.00    0.00       1/1           caml_curry7_6 [261]
                0.00    0.00       1/1           camlPervasives__close_out_1209 [233]
-----------------------------------------------
                0.00    6.83       1/1           caml_start_program [6]
[5]     30.3    0.00    6.83       1         caml_program [5]
                0.00    6.83       1/1           camlOptim0__entry [4]
                0.00    0.00       1/1           camlPervasives__entry [234]
                0.00    0.00       1/1           camlArray__entry [225]
                0.00    0.00       1/1           camlList__entry [229]
                0.00    0.00       1/1           camlChar__entry [227]
                0.00    0.00       1/1           camlString__entry [248]
                0.00    0.00       1/1           camlSys__entry [249]
                0.00    0.00       1/1           camlHashtbl__entry [228]
                0.00    0.00       1/1           camlBuffer__entry [226]
                0.00    0.00       1/1           camlPrintf__entry [241]
                0.00    0.00       1/1           camlScanf__entry [245]
                0.00    0.00       1/1           camlStd_exit__entry [247]
-----------------------------------------------
                                                 <spontaneous>
[6]     30.3    0.00    6.83                 caml_start_program [6]
                0.00    6.83       1/1           caml_program [5]
-----------------------------------------------
                0.01    6.48       1/1           camlOptim0__entry [4]
[7]     28.8    0.01    6.48       1         camlList__fold_left_1078 [7]
                0.00    6.47  273169/273169      camlOptim0__increment_1038 [8]
                0.00    0.01  273169/1477567     caml_apply2 <cycle 1> [42]
-----------------------------------------------
                0.00    6.47  273169/273169      camlList__fold_left_1078 [7]
[8]     28.7    0.00    6.47  273169         camlOptim0__increment_1038 [8]
                4.50    0.00  273169/273169      camlList__assoc_1169 [9]
                1.97    0.00  260756/260756      camlList__remove_assoc_1189 [11]
-----------------------------------------------
                4.50    0.00  273169/273169      camlOptim0__increment_1038 [8]
[9]     20.0    4.50    0.00  273169         camlList__assoc_1169 [9]
-----------------------------------------------
                0.00    0.00  440858/633527269     caml_darken [86]
                0.00    0.00  571172/633527269     caml_modify [83]
                0.00    0.00  606992/633527269     invert_pointer_at [60]
                0.00    0.00 1092688/633527269     hash_aux [79]
                0.06    0.00 17502175/633527269     mark_slice [24]
                2.00    0.00 613313384/633527269     compare_val [3]
[10]     9.2    2.07    0.00 633527269         caml_page_table_lookup [10]
-----------------------------------------------
                             114003713             camlList__remove_assoc_1189 [11]
                1.97    0.00  260756/260756      camlOptim0__increment_1038 [8]
[11]     8.7    1.97    0.00  260756+114003713 camlList__remove_assoc_1189 [11]
                             114003713             camlList__remove_assoc_1189 [11]
-----------------------------------------------
                0.00    0.00       2/612779467     caml_sys_open [121]
                0.00    0.00   12413/612779467     parse_format [104]
                0.00    0.00  546344/612779467     hash_aux [79]
                1.60    0.00 612220708/612779467     compare_val [3]
[12]     7.1    1.60    0.00 612779467         caml_string_length [12]
-----------------------------------------------
                0.00    0.00       1/1593        caml_alloc_small [88]
                0.00    0.01       7/1593        caml_alloc_string [75]
                0.00    1.32    1585/1593        caml_garbage_collection [14]
[13]     5.9    0.00    1.33    1593         caml_minor_collection [13]
                0.00    0.79    1593/1593        caml_major_collection_slice [16]
                0.00    0.54    3186/3186        caml_empty_minor_heap [17]
                0.00    0.00    1593/1593        caml_final_do_calls [177]
-----------------------------------------------
                0.00    1.32    1585/1585        caml_call_gc [15]
[14]     5.9    0.00    1.32    1585         caml_garbage_collection [14]
                0.00    1.32    1585/1593        caml_minor_collection [13]
                0.00    0.00    1585/2513        caml_process_pending_signals [174]
-----------------------------------------------
                                                 <spontaneous>
[15]     5.9    0.00    1.32                 caml_call_gc [15]
