Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       1/1           camlSys__entry [251]
                0.00    0.00       1/1           camlHashtbl__entry [230]
                0.00    0.00       1/1           camlBuffer__entry [228]
                0.00    0.00       1/1           camlPrintf__entry [243]
                0.00    0.00       1/1           camlScanf__entry [247]
                0.00    0.00       1/1           camlStd_exit__entry [249]
-----------------------------------------------
                                                 <spontaneous>
[6]     36.5    0.00   11.83                 caml_start_program [6]
                0.00   11.83       1/1           caml_program [5]
-----------------------------------------------
                0.01   11.47       1/1           camlOptim3_5__entry [4]
[7]     35.4    0.01   11.47       1         camlList__fold_left_1078 [7]
                0.00   11.45  273169/273169      camlOptim3_5__increment_1049 [8]
                0.00    0.01  273169/1477567     caml_apply2 <cycle 1> [41]
-----------------------------------------------
                0.00   11.45  273169/273169      camlList__fold_left_1078 [7]
[8]     35.3    0.00   11.45  273169         camlOptim3_5__increment_1049 [8]
                7.71    0.00  273169/273169      camlOptim3_5__assoc_1038 [9]
                3.75    0.00  260756/260756      camlOptim3_5__remove_assoc_1043 [10]
-----------------------------------------------
                7.71    0.00  273169/273169      camlOptim3_5__increment_1049 [8]
[9]     23.8    7.71    0.00  273169         camlOptim3_5__assoc_1038 [9]
-----------------------------------------------
                             114003713             camlOptim3_5__remove_assoc_1043 [10]
                3.75    0.00  260756/260756      camlOptim3_5__increment_1049 [8]
[10]    11.6    3.75    0.00  260756+114003713 camlOptim3_5__remove_assoc_1043 [10]
                             114003713             camlOptim3_5__remove_assoc_1043 [10]
-----------------------------------------------
                0.00    0.00  393615/633191604     caml_darken [92]
                0.00    0.00  571172/633191604     caml_modify [57]
                0.00    0.00  644470/633191604     invert_pointer_at [90]
                0.01    0.00 1092688/633191604     hash_aux [58]
                0.09    0.00 17176275/633191604     mark_slice [19]
                3.11    0.00 613313384/633191604     compare_val [3]
[11]     9.9    3.21    0.00 633191604         caml_page_table_lookup [11]
-----------------------------------------------
                0.00    0.00       2/613325807     caml_sys_open [129]
                0.00    0.00   12413/613325807     parse_format [108]
                0.00    0.00  546340/613325807     caml_string_compare [93]
                0.00    0.00  546344/613325807     hash_aux [58]
                2.14    0.00 612220708/613325807     compare_val [3]
[12]     6.6    2.14    0.00 613325807         caml_string_length [12]
-----------------------------------------------
                0.00    0.00       1/1593        caml_alloc_small [96]
                0.00    0.01      12/1593        caml_alloc_string [63]
                0.00    1.43    1580/1593        caml_garbage_collection [14]
[13]     4.5    0.00    1.45    1593         caml_minor_collection [13]
                0.00    0.93    1593/1593        caml_major_collection_slice [16]
                0.00    0.51    3186/3186        caml_empty_minor_heap [17]
                0.00    0.00    1593/1593        caml_final_do_calls [180]
-----------------------------------------------
                0.00    1.43    1580/1580        caml_call_gc [15]
[14]     4.4    0.00    1.43    1580         caml_garbage_collection [14]
                0.00    1.43    1580/1593        caml_minor_collection [13]
                0.00    0.00    1580/2508        caml_process_pending_signals [177]
-----------------------------------------------
                                                 <spontaneous>
[15]     4.4    0.00    1.43                 caml_call_gc [15]
                0.00    1.43    1580/1580        caml_garbage_collection [14]
-----------------------------------------------
                0.00    0.93    1593/1593        caml_minor_collection [13]
[16]     2.9    0.00    0.93    1593         caml_major_collection_slice [16]
                0.36    0.09     467/471         mark_slice [19]
                0.23    0.10    1126/1130        sweep_slice [22]
                0.00    0.16      82/82          caml_compact_heap_maybe [31]
                0.00    0.00      83/87          start_cycle [101]
                0.00    0.00    9558/15140       caml_gc_message [165]
-----------------------------------------------
                0.00    0.51    3186/3186        caml_minor_collection [13]
[17]     1.6    0.00    0.51    3186         caml_empty_minor_heap [17]
